,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,participant_timestamp,sequence_number,sip_timestamp
377,325,0.01,80,301,0.0,0,0,1894492442,1684956223462310656
378,313,0.01,108,301,0.0,0,0,1892640540,1684956213356145152
379,313,0.01,68,316,0.0,0,0,1879316305,1684956075083393280
380,325,0.01,80,323,0.0,0,0,1876006274,1684956039886736640
381,301,0.01,30,302,0.0,0,0,1861252968,1684955910318475264
382,325,0.01,80,323,0.0,0,0,1807841485,1684955196446135808
383,325,0.01,80,323,0.0,0,0,1782655884,1684954878903825408
384,325,0.01,108,301,0.0,0,0,1752532962,1684954489749031936
385,325,0.01,136,302,0.0,0,0,1675035602,1684953466076047104
386,325,0.01,80,323,0.0,0,0,1636297941,1684952986302868736
387,325,0.01,89,308,0.0,0,0,1490149706,1684951238058001920
388,319,0.01,20,316,0.0,0,0,1489515262,1684951233062693888
389,325,0.01,80,323,0.0,0,0,1429645963,1684950415019624448
390,325,0.01,105,301,0.0,0,0,1279074363,1684948536506557696
391,325,0.01,108,301,0.0,0,0,1254788014,1684948197820750592
392,325,0.01,82,300,0.0,0,0,1216400632,1684947650007721984
393,325,0.01,73,301,0.0,0,0,1104688666,1684946057818412800
394,325,0.01,73,301,0.0,0,0,1029727978,1684945080126022912
395,313,0.01,62,301,0.0,0,0,914295615,1684943665881486336
396,325,0.01,73,301,0.0,0,0,893474829,1684943409112827648
397,325,0.01,73,301,0.0,0,0,856130561,1684943032494194688
398,325,0.01,73,301,0.0,0,0,814603201,1684942564829300480
399,325,0.01,73,309,0.0,0,0,789416052,1684942312803988224
400,313,0.01,102,309,0.0,0,0,772166217,1684942144828556288
401,313,0.01,62,301,0.0,0,0,769719565,1684942126317089536
402,325,0.01,62,301,0.0,0,0,679638591,1684941157910992896
403,325,0.01,73,301,0.0,0,0,659552708,1684940945457740032
404,313,0.01,102,316,0.0,0,0,547063411,1684939708828430848
405,325,0.01,74,309,0.0,0,0,527451500,1684939493872367616
406,313,0.01,102,308,0.0,0,0,525500730,1684939471035147008
407,313,0.01,62,309,0.0,0,0,511508128,1684939320624503808
408,325,0.01,69,309,0.0,0,0,273365824,1684937040035591168
409,313,0.01,63,309,0.0,0,0,158011272,1684936121894929664
410,325,0.01,63,301,0.0,0,0,11087552,1684935054684426752
411,312,0.02,20,307,0.0,0,0,723550,1684935001482305792
412,319,0.01,20,319,0.0,0,0,463076,1684935000063143680
413,313,0.01,40,316,0.0,0,0,2000139520,1684871820151715584
414,325,0.01,71,323,0.0,0,0,1994830424,1684871760159544320
415,315,0.01,40,301,0.0,0,0,1988209538,1684871700291009536
416,325,0.01,87,309,0.0,0,0,1987425378,1684871696641265408
417,313,0.01,71,323,0.0,0,0,1985074036,1684871681186364672
418,325,0.01,127,300,0.0,0,0,1976909867,1684871607775764736
419,325,0.01,87,322,0.0,0,0,1976894498,1684871607702615808
420,302,0.02,10,301,0.0,0,0,1958045788,1684871413465792512
421,325,0.01,40,304,0.0,0,0,1958038577,1684871413454872576
422,325,0.01,40,302,0.0,0,0,1956347205,1684871400137639680
423,325,0.08,10,325,0.0,0,0,1956336491,1684871400121842688
424,313,0.01,40,307,0.0,0,0,1956305242,1684871400058491904
425,325,0.01,127,309,0.0,0,0,1940713583,1684871223240692736
426,325,0.01,87,325,0.0,0,0,1940695284,1684871223173242880
427,313,0.01,71,323,0.0,0,0,1939984580,1684871214942682368
428,307,0.01,88,315,0.0,0,0,1931262806,1684871116167744256
429,325,0.01,87,301,0.0,0,0,1930626511,1684871110185429248
430,313,0.01,111,301,0.0,0,0,1923461756,1684871025505757696
431,307,0.01,72,315,0.0,0,0,1923434052,1684871025416891136
432,325,0.01,87,309,0.0,0,0,1888099116,1684870560908902912
433,322,0.01,116,301,0.0,0,0,1863710321,1684870241133587456
434,325,0.01,71,315,0.0,0,0,1863694481,1684870241065495296
435,325,0.01,71,315,0.0,0,0,1842064622,1684869948965745664
436,307,0.01,145,312,0.0,0,0,1839036216,1684869906394794240
437,325,0.01,87,315,0.0,0,0,1829007696,1684869790513186816
438,325,0.01,71,309,0.0,0,0,1828297848,1684869782405086208
439,325,0.01,87,301,0.0,0,0,1747567809,1684868788473585152
440,325,0.01,71,309,0.0,0,0,1731960546,1684868591082377728
441,313,0.01,111,309,0.0,0,0,1724746019,1684868516588465408
442,325,0.01,87,301,0.0,0,0,1701414680,1684868204015960320
443,325,0.01,87,309,0.0,0,0,1659103073,1684867617807727616
444,325,0.01,127,313,0.0,0,0,1603999388,1684866971131551232
445,325,0.01,87,301,0.0,0,0,1592614642,1684866847823145984
446,325,0.01,87,301,0.0,0,0,1588499436,1684866789805235712
447,325,0.01,87,301,0.0,0,0,1573699505,1684866621684461056
448,302,0.02,132,308,0.0,0,0,1547773021,1684866369066928128
449,313,0.01,71,316,0.0,0,0,1539463154,1684866297318622208
450,325,0.01,87,301,0.0,0,0,1518509283,1684866118990957056
451,313,0.01,105,301,0.0,0,0,1497209341,1684865889362666496
452,307,0.01,82,315,0.0,0,0,1490277074,1684865805158517248
453,325,0.01,79,307,0.0,0,0,1390185378,1684864507870596096
454,325,0.01,119,304,0.0,0,0,1327770114,1684863657910646272
455,325,0.01,79,319,0.0,0,0,1327317396,1684863652908584192
456,313,0.01,105,301,0.0,0,0,1304190205,1684863362949400576
457,313,0.01,65,307,0.0,0,0,1304149321,1684863362844311040
458,325,0.01,80,301,0.0,0,0,1277750218,1684863076987645952
459,325,0.01,98,301,0.0,0,0,1273893323,1684863038825564672
460,322,0.01,144,303,0.0,0,0,1263541626,1684862965744293888
461,325,0.01,98,301,0.0,0,0,1256594599,1684862891583048960
462,325,0.01,98,301,0.0,0,0,1165025422,1684861690260425472
463,325,0.01,98,301,0.0,0,0,1129099520,1684861228234742016
464,325,0.01,98,301,0.0,0,0,1125676391,1684861196029309952
465,313,0.01,120,309,0.0,0,0,1119045945,1684861107840502272
466,325,0.01,98,302,0.0,0,0,1110569377,1684861012933348864
467,325,0.01,98,319,0.0,0,0,1081585724,1684860656818911488
468,325,0.01,98,301,0.0,0,0,1058290368,1684860429727408128
469,325,0.01,98,322,0.0,0,0,1014430983,1684859997355880192
470,313,0.01,80,301,0.0,0,0,1005089532,1684859909879821056
471,325,0.01,98,301,0.0,0,0,1001335353,1684859881085628160
472,303,0.01,108,304,0.0,0,0,986723399,1684859745010298880
473,313,0.01,80,312,0.0,0,0,986691312,1684859744952797184
474,325,0.01,98,301,0.0,0,0,920932295,1684858882798640640
475,313,0.01,75,316,0.0,0,0,908416779,1684858724378127360
476,325,0.01,92,301,0.0,0,0,870400885,1684858210675144448
477,303,0.01,127,304,0.0,0,0,870397673,1684858210669280256
478,325,0.01,92,301,0.0,0,0,838556425,1684857813770499840
479,322,0.01,135,302,0.0,0,0,838553030,1684857813764364800
480,325,0.01,92,303,0.0,0,0,826835935,1684857658374532864
481,325,0.01,152,304,0.0,0,0,826820259,1684857658306681600
482,322,0.01,127,319,0.0,0,0,819691184,1684857578748989696
483,322,0.01,121,308,0.0,0,0,792438634,1684857211518282240
484,313,0.01,115,301,0.0,0,0,764874058,1684856867335773440
485,313,0.01,75,312,0.0,0,0,764837022,1684856867257771776
486,325,0.01,152,301,0.0,0,0,763312423,1684856846313638656
487,325,0.01,92,301,0.0,0,0,763273695,1684856846180878592
488,325,0.01,92,301,0.0,0,0,742317786,1684856575815683840
489,322,0.01,122,319,0.0,0,0,742311532,1684856575805712128
490,303,0.01,127,303,0.0,0,0,742311348,1684856575805607168
491,307,0.01,76,301,0.0,0,0,661490887,1684855513336534272
492,325,0.01,92,301,0.0,0,0,596723294,1684854690495604736
493,325,0.01,135,300,0.0,0,0,596679546,1684854690246396928
494,313,0.01,115,301,0.0,0,0,533946207,1684853943760645376
495,313,0.01,75,323,0.0,0,0,533913511,1684853943660275968
496,325,0.01,92,319,0.0,0,0,505619361,1684853625113073664
497,325,0.01,92,301,0.0,0,0,491960357,1684853461372214016
498,313,0.01,115,301,0.0,0,0,468745149,1684853195851943936
499,313,0.01,75,323,0.0,0,0,468717471,1684853195772578560
500,325,0.01,92,315,0.0,0,0,457310918,1684853070775813632
501,325,0.01,92,301,0.0,0,0,412264142,1684852571360526336
502,325,0.01,92,301,0.0,0,0,382937248,1684852235997998592
503,325,0.01,92,301,0.0,0,0,343011642,1684851805711320064
504,325,0.01,92,301,0.0,0,0,330553833,1684851677349994496
505,313,0.01,115,313,0.0,0,0,330550977,1684851677344792832
506,325,0.01,92,309,0.0,0,0,317818051,1684851529113986048
507,313,0.01,115,313,0.0,0,0,317814860,1684851529108504320
508,313,0.01,115,301,0.0,0,0,307958196,1684851435465315840
509,325,0.01,92,319,0.0,0,0,288918856,1684851232328956672
510,302,0.02,70,309,0.0,0,0,257756428,1684850849480793600
511,325,0.01,92,309,0.0,0,0,231042279,1684850551787140352
512,325,0.01,92,301,0.0,0,0,224460199,1684850486649357312
513,313,0.01,115,301,0.0,0,0,219085666,1684850443192289024
514,325,0.01,92,309,0.0,0,0,216785021,1684850424470048512
515,313,0.01,40,313,0.0,0,0,216217247,1684850419042524672
516,325,0.08,10,301,0.0,0,0,215778609,1684850414617194240
517,325,0.01,75,316,0.0,0,0,201159030,1684850273487233792
518,313,0.01,67,303,0.0,0,0,200822268,1684850273143093504
519,325,0.01,82,309,0.0,0,0,192942980,1684850197783439104
520,325,0.01,82,301,0.0,0,0,163107462,1684849907056376320
521,325,0.01,82,309,0.0,0,0,136638334,1684849656475631872
522,325,0.01,82,301,0.0,0,0,127811260,1684849571685090304
523,323,0.51,1,304,0.0,0,0,119884043,1684849511072304896
524,308,0.09,1,308,0.0,0,0,119883986,1684849511072257792
525,313,0.05,20,301,0.0,0,0,118714926,1684849504384840448
526,325,0.06,20,309,0.0,0,0,118629003,1684849504097158912
527,313,0.05,20,300,0.0,0,0,118345810,1684849503249360896
528,325,0.08,10,309,0.0,0,0,117749603,1684849500017628160
529,313,0.01,67,301,0.0,0,0,113224045,1684849462888436992
530,325,0.01,82,323,0.0,0,0,78005589,1684849146643222016
531,325,0.01,67,309,0.0,0,0,76670915,1684849136675271936
532,325,0.01,67,309,0.0,0,0,74157931,1684849116468634368
533,325,0.01,77,301,0.0,0,0,58655733,1684848996060775936
534,325,0.01,76,301,0.0,0,0,33347976,1684848810172886784
535,325,0.01,76,309,0.0,0,0,23388711,1684848743389457408
536,307,0.75,1,307,0.0,0,0,879617,1684848601915568128
537,309,0.75,1,309,0.0,0,0,871387,1684848601884232704
538,323,0.75,10,323,0.0,0,0,485674,1684848600318882816
