,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,participant_timestamp,sequence_number,sip_timestamp
2964,325,0.01,435,309,0,0,0,400172199,1684860645814654720
2965,325,0.01,435,301,0,0,0,399980678,1684860642156530688
2966,325,0.01,435,309,0,0,0,398876444,1684860607902966784
2967,325,0.01,474,304,0,0,0,398463173,1684860586166010880
2968,325,0.01,412,301,0,0,0,398446468,1684860586036847616
2969,325,0.01,474,309,0,0,0,398082072,1684860565750139648
2970,313,0.01,323,323,0,0,0,397084425,1684860530027541760
2971,325,0.01,412,309,0,0,0,394086116,1684860447920941312
2972,325,0.01,316,308,0,0,0,391717066,1684860377219364608
2973,325,0.01,378,301,0,0,0,388598340,1684860258447663104
2974,325,0.01,378,302,0,0,0,387603012,1684860216030362368
2975,325,0.01,316,300,0,0,0,386887115,1684860194515264768
2976,325,0.01,316,315,0,0,0,386438050,1684860183288407296
2977,325,0.01,434,301,0,0,0,385619167,1684860165015332864
2978,325,0.01,316,323,0,0,0,385260839,1684860156878077952
2979,325,0.01,378,300,0,0,0,378585558,1684859942028197888
2980,325,0.01,316,315,0,0,0,378557753,1684859941877063168
2981,325,0.01,316,300,0,0,0,378002293,1684859926426408704
2982,325,0.01,378,316,0,0,0,375860057,1684859882731146496
2983,313,0.01,350,323,0,0,0,375834363,1684859882588371456
2984,325,0.01,434,300,0,0,0,373960004,1684859827593308672
2985,325,0.01,378,304,0,0,0,370264566,1684859745084434944
2986,325,0.01,434,302,0,0,0,369540824,1684859730468898048
2987,325,0.01,434,309,0,0,0,368294780,1684859706719776512
2988,325,0.01,378,309,0,0,0,366969065,1684859671051108608
2989,325,0.01,316,319,0,0,0,366951643,1684859670964837888
2990,325,0.01,434,307,0,0,0,365602063,1684859641417077760
2991,325,0.01,434,313,0,0,0,365124940,1684859631938483200
2992,325,0.01,378,309,0,0,0,359459896,1684859452035904512
2993,325,0.01,400,312,0,0,0,353796580,1684859293014193920
2994,325,0.01,347,303,0,0,0,350101608,1684859196133085440
2995,325,0.01,400,309,0,0,0,349948235,1684859192872233728
2996,325,0.01,400,313,0,0,0,349909325,1684859192655628288
2997,325,0.01,400,323,0,0,0,349777058,1684859191151452928
2998,325,0.01,400,309,0,0,0,349245897,1684859174637988096
2999,325,0.01,347,313,0,0,0,348336602,1684859115975550720
3000,325,0.01,347,316,0,0,0,344743077,1684858896644525824
3001,325,0.01,316,316,0,0,0,344719493,1684858896517653248
3002,325,0.01,400,301,0,0,0,341620022,1684858752731049472
3003,325,0.01,405,323,0,0,0,340228923,1684858700566196992
3004,325,0.01,347,300,0,0,0,340069567,1684858693027163904
3005,325,0.01,316,308,0,0,0,339353732,1684858647938671104
3006,325,0.01,400,313,0,0,0,336600310,1684858500392745728
3007,325,0.01,369,301,0,0,0,332138573,1684858293711348736
